Pool,Deposits (ETH),Rewards (ETH)
1,32855.061601914421589825,2685.349737626577337663
2,107056.988892075349495257,2347.540010495784871948
3,62909.231427718665092814,216.753745323833097653
4,56890.254530014654030726,752.515508971688508151
5,119447.072978921479630138,7548.897999626846826671
6,0.0,0.0
7,20.000000001277753131,0.174855684409108152
8,9300.0,82.261485534240277795
9,0.0,0.0
10,0.0,0.0
11,30754.686006990108857918,1231.977508770208205444
12,0.0,0.0
13,127.0,1.979823977738460338
14,0.0,0.0
15,1.009999992336241613,0.010174365874272189
16,0.0,0.000000000000000001
17,0.0,0.000000000000000001
18,3366.469999999985637997,52.118519315552816325
19,0.0,0.0
20,433.1121712465573,6.998604292903409353
21,0.0,0.0
22,20616.587107128560883244,1464.038914347343117083
23,30000.0,784.90975275353987718
24,500.01,12.07345323327497783
25,40.0,0.478119195194828792
Pools Stake/Rewards Total,474317.484716003396512663,17188.078213515009992569
CN Balance,13479.635746436787,
CLA Balance,2102.67024,
EXPECTED Total Pool Balance,507087.868915955193505232 ETH,
ACTUAL Token Controller Balance,507780.73694946 ETH,
Difference,692.868033504806494768 ETH,
